Run,Random Seed,MW_implemented_wind,MW_implemented_solar,MW_implemented_urban
2,35,0.0,0.0,435.0
2,36,0.0,0.0,496.5
2,37,0.0,0.0,451.5
2,38,0.0,0.0,468.0
2,39,0.0,0.0,459.0
2,40,0.0,0.0,490.5
2,41,0.0,0.0,522.0
2,42,0.0,0.0,477.0
2,43,0.0,0.0,499.5
2,44,0.0,0.0,462.0
2,45,0.0,0.0,444.0
2,46,0.0,0.0,462.0
2,47,0.0,0.0,510.0
2,48,0.0,0.0,472.5
2,49,0.0,0.0,475.5
2,50,0.0,0.0,435.0
2,51,0.0,0.0,537.0
2,52,0.0,0.0,466.5
2,53,0.0,0.0,514.5
2,54,0.0,0.0,472.5
2,55,0.0,0.0,471.0
2,56,0.0,0.0,486.0
2,57,0.0,0.0,463.5
2,58,0.0,0.0,474.0
2,59,0.0,0.0,457.5
2,60,0.0,0.0,504.0
2,61,0.0,0.0,489.0
2,62,0.0,0.0,471.0
2,63,0.0,0.0,484.5
2,64,0.0,0.0,466.5
2,65,0.0,0.0,523.5
2,66,0.0,0.0,493.5
2,67,0.0,0.0,441.0
2,68,0.0,0.0,463.5
2,69,0.0,0.0,475.5
2,70,0.0,0.0,481.5
2,71,0.0,0.0,493.5
2,72,0.0,0.0,493.5
2,73,0.0,0.0,477.0
2,74,0.0,0.0,498.0
2,75,0.0,0.0,453.0
2,76,0.0,0.0,468.0
2,77,0.0,0.0,463.5
2,78,0.0,0.0,501.0
2,79,0.0,0.0,474.0
2,80,0.0,0.0,451.5
2,81,0.0,0.0,459.0
2,82,0.0,0.0,471.0
2,83,0.0,0.0,462.0
2,84,0.0,0.0,502.5
2,85,0.0,0.0,448.5
2,86,0.0,0.0,442.5
2,87,0.0,0.0,427.5
2,88,0.0,0.0,460.5
2,89,0.0,0.0,474.0
2,90,0.0,0.0,481.5
2,91,0.0,0.0,550.5
2,92,0.0,0.0,471.0
2,93,0.0,0.0,469.5
2,94,0.0,0.0,513.0
2,95,0.0,0.0,490.5
2,96,0.0,0.0,477.0
2,97,0.0,0.0,447.0
2,98,0.0,0.0,451.5
2,99,0.0,0.0,451.5
3,0,212.0,1317.0,361.5
3,1,294.0,1533.0,364.5
3,2,399.0,1217.0,396.0
3,3,388.0,1459.0,324.0
3,4,210.0,1474.0,327.0
3,5,406.0,1255.0,400.5
3,6,304.0,1552.0,337.5
3,7,342.0,1337.0,387.0
3,8,480.0,1840.0,343.5
3,9,430.0,1846.0,397.5
3,10,429.0,1483.0,361.5
3,11,323.0,1314.0,384.0
3,12,308.0,1597.0,388.5
3,13,501.0,1935.0,379.5
3,14,392.0,1828.0,376.5
3,15,450.0,1248.0,366.0
3,16,434.0,1715.0,397.5
3,17,372.0,1776.0,337.5
3,18,274.0,1172.0,412.5
3,19,349.0,1399.0,360.0
3,20,204.0,1703.0,381.0
3,21,374.0,1475.0,367.5
3,22,427.0,1288.0,381.0
3,23,358.0,1195.0,379.5
3,24,352.0,1539.0,360.0
3,25,305.0,1768.0,391.5
3,26,342.0,1625.0,354.0
3,27,355.0,1522.0,343.5
3,28,493.0,1414.0,411.0
3,29,496.0,1636.0,367.5
3,30,290.0,1530.0,379.5
3,31,252.0,1345.0,369.0
3,32,323.0,1022.0,354.0
3,33,296.0,1386.0,367.5
3,34,331.0,1370.0,367.5
3,35,540.0,1866.0,396.0
3,36,329.0,1349.0,340.5
3,37,388.0,1398.0,376.5
3,38,343.0,1277.0,336.0
3,39,368.0,1239.0,375.0
3,40,262.0,997.0,366.0
3,41,398.0,1428.0,369.0
3,42,356.0,1274.0,360.0
3,43,290.0,1477.0,385.5
3,44,386.0,1445.0,375.0
3,45,347.0,1520.0,330.0
3,46,298.0,1664.0,336.0
3,47,311.0,1361.0,351.0
3,48,369.0,1678.0,412.5
3,49,387.0,1601.0,375.0
3,50,330.0,1343.0,334.5
3,51,271.0,1713.0,337.5
3,52,362.0,1315.0,375.0
3,53,342.0,1378.0,367.5
3,54,368.0,1691.0,411.0
3,55,311.0,927.0,376.5
3,56,261.0,1420.0,348.0
3,57,359.0,1381.0,322.5
3,58,283.0,1362.0,363.0
3,59,287.0,1707.0,325.5
3,60,298.0,1339.0,408.0
3,61,369.0,1509.0,373.5
3,62,390.0,1432.0,364.5
3,63,403.0,1324.0,369.0
3,64,279.0,1295.0,391.5
3,65,281.0,1421.0,364.5
3,66,265.0,1359.0,352.5
3,67,307.0,1535.0,381.0
3,68,280.0,1469.0,376.5
3,69,309.0,1388.0,400.5
3,70,326.0,1314.0,370.5
3,71,423.0,1263.0,343.5
3,72,278.0,973.0,372.0
3,73,473.0,1375.0,355.5
3,74,390.0,1271.0,366.0
3,75,345.0,1559.0,373.5
3,76,343.0,1463.0,411.0
3,77,363.0,2032.0,375.0
3,78,268.0,1256.0,400.5
3,79,339.0,1236.0,370.5
3,80,244.0,1604.0,348.0
3,81,187.0,1451.0,370.5
3,82,267.0,1394.0,358.5
3,83,414.0,1132.0,385.5
3,84,351.0,1620.0,351.0
3,85,374.0,1659.0,379.5
3,86,439.0,1097.0,375.0
3,87,517.0,1604.0,384.0
3,88,230.0,1307.0,372.0
3,89,378.0,1852.0,342.0
3,90,339.0,1587.0,367.5
3,91,406.0,1224.0,382.5
3,92,391.0,1803.0,351.0
3,93,312.0,1351.0,372.0
3,94,384.0,1209.0,343.5
3,95,460.0,1293.0,411.0
3,96,373.0,1709.0,396.0
3,97,317.0,1265.0,370.5
3,98,247.0,1308.0,372.0
3,99,283.0,1350.0,384.0
4,0,547.0,2565.0,577.5
4,1,666.0,1838.0,546.0
4,2,647.0,2756.0,523.5
4,3,457.0,1699.0,580.5
4,4,597.0,2128.0,556.5
4,5,734.0,1807.0,519.0
4,6,641.0,2324.0,567.0
4,7,502.0,2543.0,607.5
4,8,690.0,2400.0,577.5
4,9,481.0,2748.0,546.0
4,10,538.0,1980.0,547.5
4,11,690.0,2219.0,583.5
4,12,591.0,2221.0,570.0
4,13,713.0,2291.0,612.0
4,14,486.0,2738.0,565.5
4,15,422.0,1697.0,600.0
4,16,665.0,2124.0,574.5
4,17,572.0,2452.0,540.0
4,18,418.0,2133.0,543.0
4,19,609.0,2024.0,529.5
4,20,546.0,1881.0,631.5
4,21,520.0,2640.0,633.0
4,22,563.0,2304.0,603.0
4,23,723.0,2478.0,559.5
4,24,459.0,2501.0,541.5
4,25,731.0,2701.0,589.5
4,26,550.0,2421.0,556.5
4,27,568.0,1968.0,564.0
4,28,493.0,2031.0,535.5
4,29,525.0,2268.0,612.0
4,30,625.0,2306.0,600.0
4,31,583.0,2319.0,583.5
4,32,593.0,2169.0,543.0
4,33,568.0,2557.0,562.5
4,34,443.0,2477.0,618.0
4,35,421.0,1907.0,540.0
4,36,551.0,2358.0,550.5
4,37,440.0,2121.0,571.5
4,38,629.0,2286.0,577.5
4,39,460.0,2079.0,519.0
4,40,747.0,2228.0,592.5
4,41,590.0,2424.0,618.0
4,42,751.0,2322.0,612.0
4,43,594.0,2384.0,555.0
4,44,631.0,2043.0,579.0
4,45,595.0,2061.0,570.0
4,46,858.0,2588.0,577.5
4,47,537.0,2610.0,550.5
4,48,550.0,2750.0,546.0
4,49,553.0,2159.0,543.0
4,50,617.0,1947.0,618.0
4,51,538.0,2404.0,514.5
4,52,489.0,2103.0,567.0
4,53,405.0,2027.0,565.5
4,54,690.0,2523.0,568.5
4,55,505.0,1898.0,604.5
4,56,531.0,2243.0,534.0
4,57,651.0,2441.0,576.0
4,58,472.0,2330.0,564.0
4,59,466.0,1925.0,585.0
4,60,501.0,2094.0,544.5
4,61,536.0,2682.0,603.0
4,62,708.0,2192.0,544.5
4,63,578.0,2414.0,601.5
4,64,619.0,2701.0,579.0
4,65,540.0,2205.0,595.5
4,66,617.0,2429.0,564.0
4,67,420.0,2011.0,574.5
4,68,570.0,2139.0,576.0
4,69,529.0,1956.0,549.0
4,70,553.0,2584.0,622.5
4,71,607.0,2588.0,579.0
4,72,462.0,1489.0,502.5
4,73,580.0,2157.0,567.0
4,74,586.0,2406.0,546.0
4,75,619.0,2418.0,564.0
4,76,459.0,1852.0,571.5
4,77,407.0,2170.0,540.0
4,78,431.0,3165.0,591.0
4,79,580.0,2393.0,568.5
4,80,496.0,2197.0,573.0
4,81,563.0,2234.0,526.5
4,82,438.0,2088.0,576.0
4,83,394.0,1816.0,579.0
4,84,582.0,2177.0,543.0
4,85,656.0,2715.0,567.0
4,86,481.0,2503.0,568.5
4,87,530.0,2022.0,604.5
4,88,576.0,2413.0,541.5
4,89,551.0,2374.0,522.0
4,90,489.0,1981.0,525.0
4,91,731.0,2235.0,621.0
4,92,560.0,2666.0,561.0
4,93,443.0,2396.0,601.5
4,94,618.0,2425.0,550.5
4,95,701.0,1942.0,571.5
4,96,436.0,2123.0,499.5
4,97,687.0,2054.0,520.5
4,98,708.0,2532.0,607.5
4,99,555.0,1946.0,532.5
5,0,94.0,683.0,310.5
5,1,125.0,464.0,271.5
5,2,110.0,458.0,300.0
5,3,164.0,476.0,273.0
5,4,134.0,507.0,334.5
5,5,134.0,535.0,304.5
5,6,110.0,314.0,270.0
5,7,129.0,654.0,270.0
5,8,148.0,417.0,289.5
5,9,138.0,773.0,307.5
5,10,70.0,461.0,310.5
5,11,109.0,641.0,282.0
5,12,143.0,386.0,283.5
5,13,125.0,613.0,277.5
