Run,Random Seed,MW_implemented_wind,MW_implemented_solar,MW_implemented_urban
3,24,55.0,389.0,210.0
3,25,70.0,225.0,280.5
3,26,65.0,404.0,226.5
3,27,109.0,285.0,228.0
3,28,65.0,210.0,214.5
3,29,50.0,342.0,240.0
3,30,70.0,269.0,252.0
3,31,65.0,328.0,261.0
3,32,64.0,239.0,225.0
3,33,70.0,284.0,238.5
3,34,90.0,224.0,235.5
3,35,60.0,149.0,237.0
3,36,115.0,165.0,237.0
3,37,114.0,224.0,258.0
3,38,80.0,224.0,246.0
3,39,89.0,253.0,238.5
3,40,85.0,448.0,202.5
3,41,80.0,240.0,271.5
3,42,55.0,283.0,249.0
3,43,85.0,372.0,237.0
3,44,65.0,180.0,211.5
3,45,55.0,298.0,240.0
3,46,75.0,417.0,220.5
3,47,95.0,285.0,222.0
3,48,85.0,328.0,229.5
3,49,45.0,312.0,240.0
3,50,55.0,345.0,208.5
3,51,95.0,225.0,256.5
3,52,80.0,254.0,255.0
3,53,69.0,343.0,253.5
3,54,70.0,282.0,241.5
3,55,75.0,475.0,211.5
3,56,65.0,447.0,246.0
3,57,65.0,254.0,265.5
3,58,70.0,313.0,271.5
3,59,75.0,238.0,259.5
3,60,115.0,239.0,214.5
3,61,50.0,164.0,253.5
3,62,65.0,164.0,243.0
3,63,45.0,165.0,252.0
3,64,73.0,344.0,231.0
3,65,95.0,222.0,235.5
3,66,80.0,447.0,231.0
3,67,75.0,224.0,268.5
3,68,74.0,269.0,240.0
3,69,60.0,327.0,232.5
3,70,89.0,341.0,240.0
3,71,35.0,285.0,231.0
3,72,109.0,225.0,247.5
3,73,95.0,120.0,207.0
3,74,65.0,178.0,235.5
3,75,75.0,329.0,240.0
3,76,79.0,375.0,214.5
3,77,89.0,209.0,223.5
3,78,50.0,282.0,216.0
3,79,45.0,164.0,217.5
3,80,75.0,283.0,214.5
3,81,50.0,269.0,232.5
3,82,104.0,180.0,241.5
3,83,65.0,150.0,232.5
3,84,85.0,297.0,225.0
3,85,80.0,209.0,192.0
