Referentie;Thema;Categorie;Aanvrager Naam;Adres;Postcode;Plaats lokatie;Provincie;Power [MW];Available production per year [MWh];Lifespan [jr.];Maximale subsidie [€];Opstelling Zon-pv;;
SDE1920383;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Jumbo Supermarkt;Korendreef 24;3241AS;MIDDELHARNIS;Zuid-Holland;0,13; 120 ;15; 116.708 ; Daksysteem ;;
SDE1920385;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);Gemeente Almere;Globeplein 1;1334BT;ALMERE;Flevoland; 0,95 ; 2.850 ;12; 1.162.800 ; n.v.t. ;;
SDE1920386;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Mascha OZ I B.V.;Generaal Vetterstraat 68-70;1059BW;AMSTERDAM;Noord-Holland; 0,05 ; 49 ;15; 48.165 ; Daksysteem ;;
SDE1920394;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Proteion Hornerheide;Hornerheide 1;6085NM;HORN;Limburg; 0,07 ; 62 ;15; 60.207 ; Daksysteem ;;
SDE1920395;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stg. Alg. Voortgez. Onderwijs, Beroepsonderw.;Julianalaan 97;8931AH;LEEUWARDEN;Friesland; 0,66 ; 627 ;15; 611.325 ; Daksysteem ;;
SDE1920396;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Veem- en Overslagbedrijf Breda B.V.;Regenbeemd 42;4825AT;BREDA;Noord-Brabant; 0,48 ; 456 ;15; 444.600 ; Daksysteem ;;
SDE1920398;Zon;2019 Zon-PV >= 1 MWp daksystemen;Zonwind Capital Partners N.V.;Kanaaldijk N.W. 71;5707LC;HELMOND;Noord-Brabant; 2,00 ; 1.900 ;15; 1.852.500 ; Daksysteem ;;
SDE1920400;Zon;2019 Zon-PV >= 1 MWp daksystemen;Hesp Solar B.V.;Parkweg 34;3451RK;VLEUTEN;Utrecht; 2,00 ; 1.900 ;15; 1.824.000 ; Daksysteem ;;
SDE1920410;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;7909**;HOOGEVEEN;Drenthe; 0,93 ; 883 ;15; 820.772 ; Veldsysteem ;;
SDE1920419;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;7245**;LAREN GLD;Gelderland; 0,26 ; 247 ;15; 240.825 ; Daksysteem ;;
