Referentie;Thema;Categorie;Aanvrager Naam;Adres;Postcode;Plaats lokatie;Provincie;Power [MW];Available production per year [MWh];Lifespan [jr.];Maximale subsidie [€];Opstelling Zon-pv;;
SDE1925018;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Supermarkt Heerschap Heel B.V.;Dorpsstraat 21;6097AL;HEEL;Limburg; 0,08 ; 79 ;15; 76.694 ; Daksysteem ;;
SDE1925020;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE Dret Custodian II B.V.;Wolfstraat 17;6211GM;MAASTRICHT;Limburg; 0,02 ; 18 ;15; 16.968 ; Daksysteem ;;
SDE1925037;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hotel De Schelde Beheer B.V.;Scheldestraat 1;4506KL;CADZAND;Zeeland; 0,02 ; 19 ;15; 18.525 ; Daksysteem ;;
SDE1925042;Wind op land;2019 Wind op land;Windpark Elzenburg-De Geer B.V.;Elzenburg-de Geer deel Raedthuys;-;OSS;Noord-Brabant; 8,60 ; 29.378 ;15; 18.508.140 ; n.v.t. ;;
SDE1925050;Zon;2019 Zon-PV >= 1 MWp daksystemen;R & D Holding B.V.;Hazeldonk 6248;4836LG;BREDA;Noord-Brabant; 1,57 ; 1.492 ;15; 1.454.213 ; Daksysteem ;;
SDE1925058;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting Intermaris;Sint Eloystraat 106;1624VW;HOORN NH;Noord-Holland; 0,21 ; 200 ;15; 195.439 ; Daksysteem ;;
SDE1925059;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Ten Have Installatie B.V.;Pampuslaan 60;1382JR;WEESP;Noord-Holland; 0,05 ; 44 ;15; 42.608 ; Daksysteem ;;
SDE1925060;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Bosch Transmission Technology B.V.;Dr. Hub van Doorneweg 120;5026RA;TILBURG;Noord-Brabant; 0,17 ; 161 ;15; 156.778 ; Daksysteem ;;
SDE1925064;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Sonnevanck Vastgoed B.V.;Hectorstraat 11;5047RE;TILBURG;Noord-Brabant; 0,39 ; 367 ;15; 352.626 ; Daksysteem ;;
SDE1925070;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;E.O.C. Onderlinge Schepenverzekering U.A.;Blankenstein 150;7943PE;MEPPEL;Drenthe; 0,08 ; 71 ;15; 69.469 ; Daksysteem ;;
SDE1925079;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Tigi Vastgoed B.V.;Oostergracht 7;3763LX;SOEST;Utrecht; 0,10 ; 91 ;15; 87.552 ; Daksysteem ;;
SDE1925085;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6091**;LEVEROY;Limburg; 0,06 ; 58 ;15; 56.474 ; Daksysteem ;;
SDE1925096;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Apparatenfabriek Kentie B.V.;Schouwweg 2;2642AK;PIJNACKER;Zuid-Holland;0,14; 137 ;15; 134.047 ; Daksysteem ;;
SDE1925104;Zon;2019 Zon-PV >= 1 MWp daksystemen;Eneco Solar, Bio & Hydro B.V.;BCT 1;-;ZUNDERT;Noord-Brabant; 10,80 ; 10.260 ;15; 10.003.500 ; Daksysteem ;;
SDE1925109;Wind op land;2019 Wind op land;Windpark Goyerbrug B.V.;Windpark Goyerbrug - turbine 1;-;HOUTEN;Utrecht; 5,60 ; 21.698 ;15; 13.669.740 ; n.v.t. ;;
SDE1925126;Zon;2019 Zon-PV >= 1 MWp daksystemen;Montea Tiel N.V.;Panovenweg 21 Tiel;-;TIEL;Gelderland; 1,61 ; 1.527 ;15; 1.488.484 ; Daksysteem ;;
SDE1925137;Wind op land;2019 Wind op land;Holland Energie Groep B.V.;Hondiusstraat 24;6827DE;ARNHEM;Gelderland; 0,06 ; 60 ;15; 39.600 ; n.v.t. ;;
SDE1925156;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Emango Group B.V.;Breinder 24;6365CX;SCHINNEN;Limburg; 0,06 ; 57 ;15; 54.775 ; Daksysteem ;;
SDE1925165;Wind op land;2019 Wind op land;Vliedorp B.V.;Vlakkeriet 6;9973TB;HOUWERZIJL;Groningen; 0,03 ; 65 ;15; 28.101 ; n.v.t. ;;
SDE1925177;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Mega Onroerende Zaken B.V.;Zijlweg 2;5145NR;WAALWIJK;Noord-Brabant; 0,50 ; 474 ;15; 462.199 ; Daksysteem ;;
SDE1925183;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Aquadistri B.V.;Vlietweg 8;4791EZ;KLUNDERT;Noord-Brabant; 0,19 ; 183 ;15; 176.016 ; Daksysteem ;;
SDE1925191;Zon;2019 Zon-PV >= 1 MWp daksystemen;Zonnepark Oudenhoorn B.V.;Molendijk 108;3227CD;OUDENHOORN;Zuid-Holland;1,90; 1.805 ;15; 1.759.875 ; Daksysteem ;;
SDE1925192;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5328**;ROSSUM GLD;Gelderland; 0,20 ; 190 ;15; 185.250 ; Daksysteem ;;
SDE1925198;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Van Haaster Vastgoed B.V.;Prinsen Schouw 1;2394CX;HAZERSWOUDE-RIJNDIJK;Zuid-Holland;0,15; 143 ;15; 136.800 ; Daksysteem ;;
SDE1925205;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5652**;EINDHOVEN;Noord-Brabant; 0,21 ; 200 ;15; 194.513 ; Daksysteem ;;
SDE1925206;Zon;2019 Zon-PV >= 1 MWp daksystemen;***;***;8461**;ROTTUM FR;Friesland; 1,30 ; 1.230 ;15; 1.199.494 ; Daksysteem ;;
SDE1925210;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Golfclub Broekpolder;Watersportweg 100;3138HD;VLAARDINGEN;Zuid-Holland;0,06; 60 ;15; 58.688 ; Daksysteem ;;
SDE1925215;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Eneco Solar, Bio & Hydro B.V.;Vareseweg 61;3047AT;ROTTERDAM;Zuid-Holland;0,06; 57 ;15; 54.720 ; Daksysteem ;;
SDE1925219;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;2222**;KATWIJK ZH;Zuid-Holland;0,08; 77 ;15; 75.027 ; Daksysteem ;;
SDE1925230;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);Frisk-Fruktergârd B.V.;Oudeweg 25;4301TC;ZIERIKZEE;Zeeland; 0,95 ; 2.375 ;12; 969.000 ; n.v.t. ;;
SDE1925239;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Swanenberg Vastgoed Beleggingen B.V.;Kattestraatje 3;5451GH;MILL;Noord-Brabant; 0,69 ; 654 ;15; 637.260 ; Daksysteem ;;
SDE1925240;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Bordan Beheer B.V.;Spinnerstraat 35;7461TV;RIJSSEN;Overijssel; 0,03 ; 32 ;15; 31.530 ; Daksysteem ;;
SDE1925248;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;N.V. Afvalzorg Holding;Kemphaanweg 2;1358AB;ALMERE;Flevoland; 17,20 ; 16.340 ;15; 15.196.200 ; Veldsysteem ;;
SDE1925251;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;H.L. Hogervorst B.V.;Kapelleboslaan 2;2204AK;NOORDWIJK ZH;Zuid-Holland;0,10; 95 ;15; 92.533 ; Daksysteem ;;
SDE1925257;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Schipper;Schermerhornstraat 2alg;4463XD;GOES;Zeeland; 0,09 ; 88 ;15; 83.491 ; Daksysteem ;;
SDE1925278;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Directiekade 2-10;3089JA;ROTTERDAM;Zuid-Holland;0,08; 73 ;15; 70.771 ; Daksysteem ;;
SDE1925295;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Serviceflat De Luchte;Lodewijk van Deyssellaan 4;1985CK;DRIEHUIS NH;Noord-Holland; 0,21 ; 200 ;15; 189.426 ; Daksysteem ;;
SDE1925312;Zon;2019 Zon-PV >= 1 MWp daksystemen;CCE Solar Growth NL B.V.;Sicilieweg 38;1045AS;AMSTERDAM;Noord-Holland; 1,52 ; 1.447 ;15; 1.410.679 ; Daksysteem ;;
SDE1925317;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Studentensingel Breda B.V.;Oosterhoutseweg 11;4817MX;BREDA;Noord-Brabant; 0,07 ; 67 ;15; 64.838 ; Daksysteem ;;
SDE1925321;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5437**;BEERS NB;Noord-Brabant; 0,06 ; 53 ;15; 51.963 ; Daksysteem ;;
SDE1925336;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5657**;EINDHOVEN;Noord-Brabant; 0,05 ; 50 ;15; 48.629 ; Daksysteem ;;
SDE1925345;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Kwekerij René Boers B.V.;Witdonk 20;5768RD;MEIJEL;Limburg; 0,16 ; 149 ;15; 145.422 ; Daksysteem ;;
SDE1925347;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Dorhout Mees B.V.;Dorhout Mees;-;DRONTEN;Flevoland; 147,77 ; 140.378 ;15; 128.445.596 ; Veldsysteem ;;
SDE1925348;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);***;***;9657**;NIEUW ANNERVEEN;Drenthe; 0,50 ; 850 ;12; 346.800 ; n.v.t. ;;
SDE1925352;Zon;2019 Zon-PV >= 1 MWp daksystemen;Parking Solutions One B.V.;Oude Roderweg 23;6422PE;HEERLEN;Limburg; 1,50 ; 1.425 ;15; 1.389.375 ; Daksysteem ;;
SDE1925364;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6101**;ECHT;Limburg; 0,25 ; 241 ;15; 234.749 ; Daksysteem ;;
SDE1925365;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6361**;NUTH;Limburg; 0,16 ; 147 ;15; 141.360 ; Daksysteem ;;
SDE1925381;Geothermie warmte;2019 Geothermie diepte >= 500 m (HW);Geothermie Plukmade B.V.;Geothermie Plukmade;-;DRIMMELEN;Noord-Brabant; 15,32 ; 91.920 ;15; 53.773.200 ; n.v.t. ;;
SDE1925394;Wind op land;2019 Wind op land;***;***;9885**;LAUWERZIJL;Groningen; 0,03 ; 73 ;15; 35.937 ; n.v.t. ;;
SDE1925401;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;SO Leij B.V.;Quarantaineweg 5;3089KP;ROTTERDAM;Zuid-Holland;0,03; 29 ;15; 27.360 ; Daksysteem ;;
SDE1925407;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Kraker Trailers Axel B.V.;Vaartwijk 7;4571SV;AXEL;Zeeland; 0,03 ; 31 ;15; 29.626 ; Daksysteem ;;
SDE1925408;Wind op land;2019 Wind op land;Windpark Kubbeweg 2 B.V.;KW3;-;DRONTEN;Flevoland; 16,80 ; 67.203 ;15; 39.313.755 ; n.v.t. ;;
SDE1925415;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Innogy Solar Netherlands B.V.;Gulperweg;-;KERKRADE;Limburg; 14,70 ; 13.965 ;15; 12.777.975 ; Veldsysteem ;;
SDE1925424;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;4261**;WIJK EN AALBURG;Noord-Brabant; 0,07 ; 69 ;15; 65.792 ; Daksysteem ;;
SDE1925426;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Unie van Waterschappen;Koningskade 40;2596AA;'S-GRAVENHAGE;Zuid-Holland;0,06; 58 ;15; 55.632 ; Daksysteem ;;
SDE1925442;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Vereniging Bouwopleiding Apeldoorn;Sleutelbloemstraat 69b;7322AJ;APELDOORN;Gelderland; 0,03 ; 31 ;15; 30.096 ; Daksysteem ;;
SDE1925444;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Virbac Nederland B.V.;Hermesweg 15;3771ND;BARNEVELD;Gelderland; 0,17 ; 157 ;15; 152.832 ; Daksysteem ;;
SDE1925446;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6049**;HERTEN;Limburg; 0,06 ; 53 ;15; 51.407 ; Daksysteem ;;
SDE1925454;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Gebr. Reus Hoogkarspel B.V.;De Gouw 97;1616DC;HOOGKARSPEL;Noord-Holland; 0,25 ; 238 ;15; 231.563 ; Daksysteem ;;
SDE1925470;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Zorggroep Charim, Centraal Kantoor;Wiltonstraat 42;3905KW;VEENENDAAL;Utrecht; 0,03 ; 30 ;15; 29.640 ; Daksysteem ;;
SDE1925487;Wind op land;2019 Wind op land;Windpark Hanze B.V.;WPH2;-;DRONTEN;Flevoland; 11,20 ; 47.323 ;15; 27.683.955 ; n.v.t. ;;
SDE1925492;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Zitmaxx B.V.;Stobbeweg 19-21;2461EX;TER AAR;Zuid-Holland;0,50; 470 ;15; 458.494 ; Daksysteem ;;
SDE1925493;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting Het Rijksmuseum;Verbindingsweg 1;3826PC;AMERSFOORT;Utrecht; 0,65 ; 616 ;15; 600.210 ; Daksysteem ;;
SDE1925500;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Danpoort International Abrasives B.V.;Kilweg 30;3336LL;ZWIJNDRECHT;Zuid-Holland;0,40; 380 ;15; 370.500 ; Daksysteem ;;
SDE1925504;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Mega Onroerende Zaken B.V.;Duikerweg 26;5145NV;WAALWIJK;Noord-Brabant; 0,05 ; 48 ;15; 46.313 ; Daksysteem ;;
SDE1925529;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Rolist B.V.;Van Salmstraat 23158;5281RS;BOXTEL;Noord-Brabant; 0,18 ; 168 ;15; 163.947 ; Daksysteem ;;
SDE1925531;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Vrijenban Investments B.V.;Schimmelpenninck van der Oyeweg 116;2645CC;DELFGAUW;Zuid-Holland;0,14; 134 ;15; 130.324 ; Daksysteem ;;
SDE1925542;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;1432**;AALSMEER;Noord-Holland; 0,10 ; 97 ;15; 87.210 ; Daksysteem ;;
SDE1925546;Wind op land;2019 Wind op land;Olsterwind B.V.;OST-B;-;DRONTEN;Flevoland; 5,60 ; 21.863 ;15; 12.789.855 ; n.v.t. ;;
SDE1925548;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5725**;HEUSDEN GEM ASTEN;Noord-Brabant; 0,05 ; 46 ;15; 43.811 ; Daksysteem ;;
SDE1925577;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Gouda Constructie B.V.;Zuidbaan 525;2841MD;MOORDRECHT;Zuid-Holland;0,12; 114 ;15; 111.150 ; Daksysteem ;;
SDE1925592;Wind op land;2019 Wind op land;***;***;9644**;VEENDAM;Groningen; 0,02 ; 28 ;15; 16.088 ; n.v.t. ;;
SDE1925608;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;1606**;VENHUIZEN;Noord-Holland; 0,28 ; 265 ;15; 258.424 ; Daksysteem ;;
SDE1925611;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Sagro Holding Zeeland B.V.;Heinkenszandseweg 22;4453VG;'S-HEERENHOEK;Zeeland; 0,50 ; 474 ;15; 462.199 ; Daksysteem ;;
SDE1925614;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE DHC Zwolle (Diezerstraat) B.V.;Diezerstraat 11;8011RA;ZWOLLE;Overijssel; 0,12 ; 112 ;15; 106.115 ; Daksysteem ;;
SDE1925616;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Geelen Beton Posterholt B.V.;Heerbaan 58;6061EE;POSTERHOLT;Limburg; 0,42 ; 399 ;15; 389.025 ; Daksysteem ;;
SDE1925619;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;Heesweg 17;8102HJ;RAALTE;Overijssel; 0,49 ; 461 ;15; 449.232 ; Daksysteem ;;
SDE1925623;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonneparken Someren B.V.;Heikantstraat 33a;-;SOMEREN;Noord-Brabant; 3,07 ; 2.913 ;15; 2.752.502 ; Veldsysteem ;;
SDE1925637;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Flevoland Duurzame Energie B.V.;Strandgaperweg 20;8256PZ;BIDDINGHUIZEN;Flevoland; 30,60 ; 29.070 ;15; 27.035.100 ; Veldsysteem ;;
SDE1925653;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;BEE Stadskanaal B.V.;Zonnepark Stadskanaal xl;-;ONSTWEDDE;Groningen; 13,22 ; 12.560 ;15; 11.303.955 ; Veldsysteem ;;
SDE1925683;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;'Interlevensbeschouwelijke Stichting voor Zorg ten behoeve van Mensen Met Een Handicap ASVZ' (Algemene Stichting voor Zorg- en Diens;Wijnkoperstraat 6;4204HK;GORINCHEM;Zuid-Holland;0,15; 141 ;15; 134.918 ; Daksysteem ;;
SDE1925698;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;T.S.M. Haaksbergen Beheer B.V.;Tolstraat 30;7482DB;HAAKSBERGEN;Overijssel; 0,15 ; 140 ;15; 136.159 ; Daksysteem ;;
SDE1925703;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;3886**;GARDEREN;Gelderland; 0,07 ; 66 ;15; 64.144 ; Daksysteem ;;
SDE1925704;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Modjo Kerto B.V.;Bollaarsdijk 5;3233LB;OOSTVOORNE;Zuid-Holland;0,04; 33 ;15; 32.419 ; Daksysteem ;;
SDE1925712;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Markelo B.V.;Zonnepark Markelo;-;MARKELO;Overijssel; 7,77 ; 7.384 ;15; 6.867.446 ; Veldsysteem ;;
SDE1925713;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Van den Heuvel t.h.o.d.n. Albert Heijn van den Heuvel;Molecatenlaan 30;7339LM;UGCHELEN;Gelderland; 0,15 ; 143 ;15; 136.800 ; Daksysteem ;;
SDE1925722;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Solarvation B.V.;Edelhertweg H1214;-;LELYSTAD;Flevoland; 36,31 ; 34.490 ;15; 32.075.715 ; Veldsysteem ;;
SDE1925723;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Arca Beheer B.V.;Plaza 11c;4782SL;MOERDIJK;Noord-Brabant; 0,11 ; 108 ;15; 105.593 ; Daksysteem ;;
SDE1925726;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hazera Seeds B.V.;Schanseind 27;4921PM;MADE;Noord-Brabant; 0,18 ; 166 ;15; 162.094 ; Daksysteem ;;
SDE1925743;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;B. Godrie Beheer B.V.;Rithmeesterpark 18;4838GZ;BREDA;Noord-Brabant; 0,18 ; 171 ;15; 166.725 ; Daksysteem ;;
SDE1925763;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Waterschap Aa en Maas;Treurenburg 4;5221CD;'S-HERTOGENBOSCH;Noord-Brabant; 1,58 ; 1.498 ;15; 1.393.280 ; Veldsysteem ;;
SDE1925773;Zon;2019 Zon-PV >= 1 MWp daksystemen;R. en M. Hendriks B.V.;Orberlaan 43;2681PH;MONSTER;Zuid-Holland;1,53; 1.457 ;15; 1.399.008 ; Daksysteem ;;
SDE1925789;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Bosflex Groep B.V.;Industrieweg 56;3641RL;MIJDRECHT;Utrecht; 0,23 ; 214 ;15; 208.407 ; Daksysteem ;;
SDE1925790;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;KLG Europe Venlo B.V.;Columbusweg 10;5928LC;VENLO;Limburg; 0,50 ; 474 ;15; 455.088 ; Daksysteem ;;
SDE1925791;Wind op land;2019 Wind op land;***;***;2481**;WOUBRUGGE;Zuid-Holland;0,02; 29 ;15; 16.965 ; n.v.t. ;;
SDE1925793;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting ASVZ;Joost van den Vondelstraat 2;2931XJ;KRIMPEN AAN DE LEK;Zuid-Holland;0,03; 25 ;15; 23.892 ; Daksysteem ;;
SDE1925798;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Fa. H. Crooijmans & Zn. B.V.;Keulseweg 145;5953HJ;REUVER;Limburg; 0,10 ; 93 ;15; 86.583 ; Daksysteem ;;
SDE1925807;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);Biofood B.V.;Hugo de Vriesweg 20;1331AJ;ALMERE;Flevoland; 0,95 ; 2.850 ;12; 1.162.800 ; n.v.t. ;;
SDE1925809;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Jumbo Wolvega;Markt 31;8471AS;WOLVEGA;Friesland; 0,13 ; 122 ;15; 118.560 ; Daksysteem ;;
SDE1925813;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Derks & Zn. B.V.;Breudijk 6;3481LP;HARMELEN;Utrecht; 0,15 ; 143 ;15; 138.938 ; Daksysteem ;;
SDE1925821;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Waterschap Noorderzijlvest;Schouwerzijlsterweg 10;9951TG;WINSUM GN;Groningen; 0,42 ; 394 ;15; 384.394 ; Veldsysteem ;;
SDE1925825;Zon;2019 Zon-PV >= 1 MWp daksystemen;Sun Invest 3 B.V.;Marie Curieweg 20;6045GH;ROERMOND;Limburg; 5,20 ; 4.940 ;15; 4.816.500 ; Daksysteem ;;
SDE1925826;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Ommelanderwijk B.V.;Zonnepark Ommelanderwijk xl;-;NIEUWE PEKELA;Groningen; 1,71 ; 1.624 ;15; 1.509.902 ; Veldsysteem ;;
SDE1925833;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;H.W. van der Peet & Zn;Transportweg 64;2421LS;NIEUWKOOP;Zuid-Holland;0,17; 157 ;15; 152.832 ; Daksysteem ;;
SDE1925834;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Wijngo Holland B.V.;Oudebrugweg 13;2808NP;GOUDA;Zuid-Holland;0,48; 451 ;15; 439.969 ; Daksysteem ;;
SDE1925840;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);Westerveld en Nederlof Vastgoed B.V.;Terborgseweg 58;7084AE;BREEDENBROEK;Gelderland; 1,75 ; 2.261 ;12; 922.590 ; n.v.t. ;;
SDE1925842;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;7547**;ENSCHEDE;Overijssel; 0,04 ; 37 ;15; 35.893 ; Daksysteem ;;
SDE1925853;Geothermie warmte;2019 Geothermie diepte >= 500 m (HW);Haagse Aardwarmte Leyweg B.V.;De Constant Rebecqueplein 20;2518RA;'S-GRAVENHAGE;Zuid-Holland; 54,28 ; 314.256 ;15; 183.839.760 ; n.v.t. ;;
SDE1925872;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Keileweg 65;3029BR;ROTTERDAM;Zuid-Holland;0,06; 61 ;15; 59.632 ; Daksysteem ;;
SDE1925876;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Brifti B.V.;Hazeldonk 6004;4836LA;BREDA;Noord-Brabant; 0,20 ; 190 ;15; 185.250 ; Daksysteem ;;
SDE1925877;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;8121**;OLST;Overijssel; 0,33 ; 314 ;15; 291.555 ; Veldsysteem ;;
SDE1925882;Zon;2019 Zon-PV >= 1 MWp daksystemen;De Schriek B.V.;Schriekenweg 6a;4891PB;RIJSBERGEN;Noord-Brabant; 1,75 ; 1.663 ;15; 1.620.938 ; Daksysteem ;;
SDE1925894;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Noordmanshoek B.V.;Jan Meesterweg;-;WIJHE;Overijssel; 9,00 ; 8.550 ;15; 8.079.750 ; Veldsysteem ;;
SDE1925899;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;4 Kwart B.V.;Industrieweg 51;2651BC;BERKEL EN RODENRIJS;Zuid-Holland;0,40; 380 ;15; 370.500 ; Daksysteem ;;
SDE1925902;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Kragten B.V.;Schoolstraat 8;6049BN;HERTEN;Limburg; 0,03 ; 29 ;15; 26.933 ; Daksysteem ;;
SDE1925910;Zon;2019 Zon-PV >= 1 MWp daksystemen;Montea Oss N.V.;Kantsingel 15;5349AJ;OSS;Noord-Brabant; 2,11 ; 2.005 ;15; 1.954.388 ; Daksysteem ;;
SDE1925914;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Koolen Industries Solar Nijmegen B.V;Zonnepark A73 Nijmegen;-;NIJMEGEN;Gelderland; 22,00 ; 20.900 ;15; 19.123.500 ; Veldsysteem ;;
SDE1925933;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Westerbeek BULB Company B.V.;Bulb trade park 7;2211SW;NOORDWIJKERHOUT;Zuid-Holland;0,23; 219 ;15; 213.038 ; Daksysteem ;;
SDE1925939;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Solarvation B.V.;Runderweg H1632;-;LELYSTAD;Flevoland; 10,14 ; 9.631 ;15; 9.101.031 ; Veldsysteem ;;
SDE1925958;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Vastgoed Stipdonk B.V.;Stipdonk 46a;5715PD;LIEROP;Noord-Brabant; 0,94 ; 897 ;15; 860.928 ; Daksysteem ;;
SDE1925959;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stg. CVO v. Zuidoost-Utrecht Chr. Coll. Zeist;Graaf Adolflaan 4;3708XB;ZEIST;Utrecht; 0,26 ; 251 ;15; 244.530 ; Daksysteem ;;
SDE1925967;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Fox Productions Holding B.V.;Flevolaan 17;1382JX;WEESP;Noord-Holland; 0,33 ; 312 ;15; 303.810 ; Daksysteem ;;
SDE1925968;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Groenenboom Beheer Pensioen B.V.;Oogstweg 9;8256SB;BIDDINGHUIZEN;Flevoland; 0,40 ; 380 ;15; 370.500 ; Daksysteem ;;
SDE1925969;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Arie Langeveld Beheer B.V.;Maaslandseweg 1;2291PH;WATERINGEN;Zuid-Holland;0,12; 114 ;15; 111.150 ; Daksysteem ;;
SDE1925972;Wind op land;2019 Wind op land;***;***;7722**;DALFSEN;Overijssel; 0,02 ; 29 ;15; 16.965 ; n.v.t. ;;
SDE1925975;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Pottendijk Zon B.V.;Energiepark Pottendijk;-;EMMEN;Drenthe; 7,75 ; 7.367 ;15; 6.851.013 ; Veldsysteem ;;
